tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
254.00;-126665636#1_0;123.66;10.36;135.00;0.00;356686652#1_0;5.10;0.00;tripinfo_135;119.00;135;0;1641.06;1.00;11.51;DEFAULT_VEHTYPE;;0
257.00;444048529#1_1;96.76;15.40;132.00;0.00;27103295#5_0;5.10;0.00;tripinfo_132;125.00;132;0;1298.76;1.00;23.77;DEFAULT_VEHTYPE;;0
257.00;326309716#0_0;34.74;7.53;148.00;0.00;407596052_0;5.10;0.00;tripinfo_148;109.00;148;0;1037.29;1.00;13.94;DEFAULT_VEHTYPE;;0
260.00;358541117_1;203.93;16.28;119.00;0.00;326467636#1_0;5.10;0.00;tripinfo_119;141.00;119;0;1524.35;1.00;27.38;DEFAULT_VEHTYPE;;2
262.00;287533435#1_0;23.19;13.78;134.00;0.00;219276443#0_0;5.10;0.00;tripinfo_134;128.00;134;0;1392.78;1.00;16.35;DEFAULT_VEHTYPE;;0
268.00;-458718922_0;218.71;10.50;190.00;0.00;287533429#2_0;5.10;0.00;tripinfo_190;78.00;190;0;803.52;1.00;8.45;DEFAULT_VEHTYPE;;0
269.00;161357702#2_0;5.04;7.63;19.00;0.00;444002072#1_0;5.10;0.00;tripinfo_19;250.00;19;0;2680.35;1.00;21.48;DEFAULT_VEHTYPE;;0
269.00;326309731#0_0;171.42;7.88;98.00;0.00;326309727#1_0;5.10;0.00;tripinfo_98;171.00;98;0;1755.04;1.00;19.72;DEFAULT_VEHTYPE;;0
270.00;27026401#0_0;111.80;10.13;86.00;3.00;218873867#1_0;5.10;0.00;tripinfo_83;184.00;83;0;2274.17;1.00;18.16;DEFAULT_VEHTYPE;;0
278.00;219276439#1_0;149.17;10.73;141.00;0.00;295701557_0;0.20;0.00;tripinfo_141;137.00;141;0;1382.44;1.00;11.77;DEFAULT_VEHTYPE;;0
279.00;477174168#1_2;102.44;10.91;106.00;2.00;407596052_0;5.10;0.00;tripinfo_104;173.00;104;0;1582.74;1.00;29.75;DEFAULT_VEHTYPE;;2
280.00;326309727#0_0;42.70;15.74;180.00;0.00;349360686_0;0.20;0.00;tripinfo_180;100.00;180;0;1002.60;1.00;10.56;DEFAULT_VEHTYPE;;0
281.00;208356048#0_1;259.06;10.88;67.00;2.00;326309726#0_0;5.10;0.00;tripinfo_65;214.00;65;0;2083.49;1.00;36.47;DEFAULT_VEHTYPE;;4
281.00;326126530#1_0;72.39;10.78;84.00;0.00;477174168#0_0;5.10;0.00;tripinfo_84;197.00;84;0;1931.28;1.00;17.03;DEFAULT_VEHTYPE;;0
282.00;326309725#0_0;156.27;7.59;130.00;0.00;444002072#1_0;5.10;0.00;tripinfo_130;152.00;130;0;1678.14;1.00;19.34;DEFAULT_VEHTYPE;;0
283.00;27103144#4_0;81.16;10.75;168.00;0.00;-208352993_0;5.10;0.00;tripinfo_168;115.00;168;0;1166.99;1.00;27.67;DEFAULT_VEHTYPE;;9
285.00;326467637#0_0;24.17;10.48;197.00;2.00;326309726#5_0;5.10;0.00;tripinfo_195;88.00;195;0;755.91;1.00;19.76;DEFAULT_VEHTYPE;;2
286.00;208356047#1_2;7.35;7.34;80.00;0.00;471664572#3_0;5.10;0.00;tripinfo_80;206.00;80;0;2120.60;1.00;20.39;DEFAULT_VEHTYPE;;0
288.00;129176988#0_1;90.93;15.88;103.00;0.00;-287533481_0;5.10;0.00;tripinfo_103;185.00;103;0;1690.91;1.00;25.94;DEFAULT_VEHTYPE;;0
289.00;218396822_0;27.75;16.61;137.00;0.00;444058036#0_0;5.10;0.00;tripinfo_137;152.00;137;0;2359.13;1.00;9.76;DEFAULT_VEHTYPE;;0
290.00;562603479#0_1;4.95;16.14;136.00;0.00;219276440#1_0;5.10;0.00;tripinfo_136;154.00;136;0;2006.90;1.00;13.23;DEFAULT_VEHTYPE;;0
291.00;130584736_0;119.53;9.99;167.00;0.00;186936338#0_0;5.10;0.00;tripinfo_167;124.00;167;0;1383.73;1.00;12.34;DEFAULT_VEHTYPE;;0
294.00;48156213_0;92.83;13.37;123.00;0.00;27028143#0_0;5.10;0.00;tripinfo_123;171.00;123;0;1778.49;1.00;29.57;DEFAULT_VEHTYPE;;2
296.00;451652904#0_0;105.43;10.61;82.00;3.00;451653597_0;5.10;0.00;tripinfo_79;214.00;79;0;2232.61;1.00;24.45;DEFAULT_VEHTYPE;;0
297.00;208352995_0;110.75;9.99;173.00;3.00;218873867#2_0;5.10;0.00;tripinfo_170;124.00;170;0;1095.11;1.00;24.60;DEFAULT_VEHTYPE;;1
297.00;171797495#0_0;35.80;4.56;144.00;0.00;-287533481_0;5.10;0.00;tripinfo_144;153.00;144;0;1298.58;1.00;23.43;DEFAULT_VEHTYPE;;0
299.00;253257589#2_0;12.47;10.70;184.00;0.00;27028143#0_0;5.10;0.00;tripinfo_184;115.00;184;0;1038.80;1.00;21.39;DEFAULT_VEHTYPE;;5
302.00;326467635#0_0;34.23;10.12;197.00;0.00;-208004245_0;5.10;0.00;tripinfo_197;105.00;197;0;956.66;1.00;19.63;DEFAULT_VEHTYPE;;0
303.00;444002075#1_0;163.29;11.07;158.00;0.00;326309695_0;5.10;0.00;tripinfo_158;145.00;158;0;1262.85;1.00;28.07;DEFAULT_VEHTYPE;;6
303.00;451653597_0;131.35;10.54;141.00;1.00;208356048#0_0;5.10;0.00;tripinfo_140;162.00;140;0;1588.55;1.00;18.67;DEFAULT_VEHTYPE;;0
307.00;326467635#0_0;34.23;10.98;172.00;0.00;358541117_0;5.10;0.00;tripinfo_172;135.00;172;0;1576.99;1.00;23.30;DEFAULT_VEHTYPE;;1
311.00;287533429#2_1;40.34;16.23;139.00;1.00;451653288_0;5.10;0.00;tripinfo_138;172.00;138;0;2189.93;1.00;35.38;DEFAULT_VEHTYPE;;19
317.00;208356048#1_0;5.13;9.99;151.00;0.00;189469606_0;3.80;0.00;tripinfo_151;166.00;151;0;1588.98;1.00;16.49;DEFAULT_VEHTYPE;;0
323.00;208352993_0;44.41;10.69;171.00;0.00;-326309730_0;5.10;0.00;tripinfo_171;152.00;171;0;1639.21;1.00;18.31;DEFAULT_VEHTYPE;;0
325.00;326467640#4_0;247.57;15.48;118.00;0.00;444048522_0;5.10;0.00;tripinfo_118;207.00;118;0;2753.32;1.00;19.17;DEFAULT_VEHTYPE;;0
